DISPLAY_FIRST_LAST,POSITION,height_in_inches,2P%_career,3P%_career,FT%_career,PF100_career,TS%_career,3PAr_career,FTr_career,ORB%_career,DRB%_career,AST%_career,STL%_career,BLK%_career,TOV%_career,USG%_career
Jahmi'us Ramsey,Guard,75,0.454,0.426,0.641,4.1,0.546,0.421,0.233,3,12.4,16.1,2.5,2.5,12.7,26.2
JaJuan Johnson,Forward,82,0.512,0.25,0.743,3.3,0.556,0.043,0.47,8.4,19.1,6,1.6,6.7,9.8,26.9
Jake Layman,Forward,80,0.53,0.362,0.759,4.1,0.572,0.505,0.333,5,14.2,8.2,1.9,3.1,14,19.3
Jakob Poeltl,Center,85,0.659,0,0.605,5.3,0.653,0.002,0.669,13.6,21.2,10.8,1.1,6.5,15.3,23.8
Jalen Brunson,Guard,74,0.587,0.393,0.82,3.7,0.628,0.396,0.357,1.8,8.1,24.3,1.7,0,14.1,24
Jalen McDaniels,Forward-Center,81,0.538,0.298,0.758,5.4,0.565,0.14,0.358,8.7,23.1,12.1,2,2.2,13.1,24.2
Jalen Smith,Forward-Center,81,0.584,0.323,0.709,4.4,0.59,0.26,0.437,11.9,21.2,6.5,1.2,6.7,11.4,22.8
Jamaal Franklin,Guard,77,0.504,0.302,0.78,5,0.55,0.383,0.514,6.9,26.2,16.1,2.4,2.5,17.1,29.9
Jamal Murray,Guard,76,0.502,0.408,0.783,3.5,0.59,0.515,0.283,4.9,11.2,12.1,1.6,0.9,12.1,27.3
James Ennis III,Forward,78,0.611,0.354,0.788,4.6,0.615,0.457,0.398,6.1,14.7,15.6,3.2,3.5,18.9,21.5
James Young,Guard-Forward,78,0.47,0.349,0.706,3.9,0.536,0.522,0.393,3.7,11,10.8,1.4,0.6,12.3,23.4
Jared Cunningham,Guard,76,0.501,0.344,0.754,5.2,0.576,0.292,0.678,4,9.2,14.7,4.6,1,18.5,24.5
Jared Sullinger,Center-Forward,81,0.541,0.365,0.733,5.3,0.591,0.061,0.583,13.3,25.9,8,2.1,3,10.7,27.4
Jarell Martin,Forward,82,0.541,0.308,0.689,4.9,0.56,0.203,0.448,8.6,15.3,8.9,1.9,2.1,15.4,22.8
Jaren Jackson Jr.,Forward-Center,82,0.596,0.396,0.797,8.6,0.647,0.414,0.573,8.8,19.7,9.3,1.6,14.3,17.4,23.5
Jarnell Stokes,Forward-Center,81,0.532,0,0.628,4.6,0.56,0.004,0.63,15.5,23.5,11.4,1.6,3.8,15.1,24.2
Jaron Blossomgame,Forward,80,0.541,0.316,0.724,3.4,0.564,0.236,0.411,7.3,17.3,8.3,1.3,2.6,11,23.4
Jarred Vanderbilt,Forward,80,0.433,0,0.632,8.9,0.476,0.015,0.559,23.1,27.9,10.7,1.4,5.3,14.8,20.8
